Tabel 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digitale vaardigheden, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digitale vaardigheden Totaal;Totaal;;;;Totaal;;;;Totaal;;;;Totaal;;;;;;;;;;;;;;;
TOTAAL;Meer dan basisvaardigheden;;;;Basisvaardigheden;;;;Geringe/geen digitale vaardigheden;;;;Kan niet vastgeteld worden;;;;;;;;;;;;;;;
;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;;;;;;;;;;;;
Groningen;59,3;52,5;66,2;;23,6;17,7;29,4;;13,8;8,9;18,7;;3,3;0,8;5,8;;;;;;;;;;;;;
Friesland;57,4;50,9;63,8;;25,6;19,8;31,3;;10,1;6,3;13,8;;7,0;3,6;10,4;;;;;;;;;;;;;
Drenthe;59,5;52,2;66,8;;20,6;14,6;26,7;;15,4;10,0;20,8;;4,4;1,6;7,3;;;;;;;;;;;;;
Overijssel;61,5;56,8;66,2;;19,3;15,5;23,1;;16,4;12,9;19,9;;2,8;1,0;4,6;;;;;;;;;;;;;
Flevoland;68,2;59,7;76,7;;17,3;10,5;24,0;;13,0;6,4;19,7;;.;.;.;;;;;;;;;;;;;
Gelderland;59,5;56,0;63,0;;20,8;17,9;23,6;;16,7;13,9;19,4;;3,0;1,8;4,3;;;;;;;;;;;;;
Utrecht;69,6;65,4;73,8;;18,6;15,1;22,2;;9,7;7,0;12,4;;2,0;0,8;3,3;;;;;;;;;;;;;
Noord-Holland;66,4;63,3;69,5;;19,3;16,7;21,9;;12,5;10,3;14,8;;1,8;1,0;2,6;;;;;;;;;;;;;
Zuid-Holland;62,3;59,5;65,1;;21,4;19,0;23,8;;13,4;11,3;15,4;;2,9;1,9;4,0;;;;;;;;;;;;;
Zeeland;51,9;43,4;60,4;;22,4;15,5;29,4;;22,6;15,3;29,8;;3,1;0,1;6,2;;;;;;;;;;;;;
Noord-Brabant;64,2;61,0;67,3;;19,0;16,4;21,5;;13,5;11,2;15,7;;3,4;2,2;4,6;;;;;;;;;;;;;
Limburg;53,1;48,2;58,0;;21,1;17,1;25,0;;21,9;17,7;26,0;;4,0;2,1;6,0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deelindicator 5;Softwaregebruik;;;;Softwaregebruik;;;;Softwaregebruik;;;;Softwaregebruik;;;;;;;;;;;;;;;
SOFTWAREGEBRUIK;Meer dan basisvaardigheden;;;;Basisvaardigheden;;;;Geringe/Geen digitale vaardigheden;;;;Kan niet vastgeteld worden;;;;;;;;;;;;;;;
;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;;;;;;;;;;;;
Nederland totaal;73,9;72,8;75,0;;15,9;14,9;16,8;;7,2;6,6;7,9;;3,0;2,5;3,4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groningen;73,7;67,6;79,9;;17,0;11,6;22,3;;6,0;2,8;9,2;;3,3;0,8;5,8;;;;;;;;;;;;;
Friesland;67,4;61,3;73,5;;18,7;13,7;23,7;;6,9;3,6;10,2;;7,0;3,6;10,4;;;;;;;;;;;;;
Drenthe;72,8;66,3;79,3;;16,3;10,9;21,7;;6,4;2,9;10,0;;4,4;1,6;7,3;;;;;;;;;;;;;
Overijssel;70,9;66,5;75,3;;18,4;14,7;22,2;;7,9;5,4;10,4;;2,8;1,0;4,6;;;;;;;;;;;;;
Flevoland;74,5;66,6;82,4;;15,4;9,0;21,8;;8,6;3,3;14,0;;.;.;.;;;;;;;;;;;;;
Gelderland;73,1;70,0;76,3;;15,8;13,2;18,3;;8,0;6,1;10,0;;3,0;1,8;4,3;;;;;;;;;;;;;
Utrecht;79,9;76,2;83,5;;12,5;9,5;15,5;;5,6;3,5;7,7;;2,0;0,8;3,3;;;;;;;;;;;;;
Noord-Holland;74,9;72,0;77,8;;17,5;15,0;20,0;;5,8;4,3;7,4;;1,8;1,0;2,6;;;;;;;;;;;;;
Zuid-Holland;74,3;71,7;76,9;;14,3;12,3;16,3;;8,5;6,8;10,1;;2,9;1,9;4,0;;;;;;;;;;;;;
Zeeland;72,4;64,7;80,1;;15,9;9,4;22,4;;8,6;4,2;13,0;;3,1;0,1;6,2;;;;;;;;;;;;;
Noord-Brabant;74,2;71,3;77,1;;15,5;13,1;17,9;;7,0;5,3;8,7;;3,4;2,2;4,6;;;;;;;;;;;;;
Limburg;71,6;67,1;76,0;;17,0;13,2;20,7;;7,5;4,9;10,0;;4,0;2,1;6,0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hoger: Significante afwijking ten opzichte van Totaal Nederland ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lager: Significante afwijking ten opzichte van Totaal Nederland ;;;;;;;;;;;;;;;;;;;;;;;;;;;
